Product Number,Part number,SKU - Description,Price,Category,Category Number
489702,125045,"489702-CHISEL 12""FLAT CLD c/wPROTECTR",10.72,TOOLS/HARDWARE,924
489714,T25490,489714-PUNCH REVOLLING LEATHER,10.46,TOOLS/HARDWARE,924
489756,702171,"489756-WRENCH COMB 1/4""",1.6,TOOLS/HARDWARE,924
489757,702172,"489757-WRENCH COMB 5/16""",1.8,TOOLS/HARDWARE,924
489758,702173,"489758-WRENCH COMB 3/8""",1.91,TOOLS/HARDWARE,924
489759,702174,"489759-WRENCH COMB 7/16""",2.12,TOOLS/HARDWARE,924
489760,702175,"489760-WRENCH COMB 1/2""",2.36,TOOLS/HARDWARE,924
489761,702176,"489761-WRENCH COMB 9/16""",2.56,TOOLS/HARDWARE,924
489762,702177,"489762-WRENCH COMB 5/8""",2.83,TOOLS/HARDWARE,924
489763,702178,"489763-WRENCH COMB 11/16""",3.35,TOOLS/HARDWARE,924
489764,702179,"489764-WRENCH COMB 3/4""",3.7,TOOLS/HARDWARE,924
489765,702180,"489765-WRENCH COMB 13/16""",4.05,TOOLS/HARDWARE,924
489766,702181,"489766-WRENCH COMB 7/8""",4.71,TOOLS/HARDWARE,924
489767,702182,"489767-WRENCH COMB 15/16""",5.73,TOOLS/HARDWARE,924
489768,702183,"489768-WRENCH COMB 1""",6.57,TOOLS/HARDWARE,924
489769,702184,"489769-WRENCH COMB 1-1/16""",8.4,TOOLS/HARDWARE,924
489770,702185,"489770-WRENCH COMB 1-1/8""",10.48,TOOLS/HARDWARE,924
489771,702186,"489771-WRENCH COMB 1-1/4""",12.05,TOOLS/HARDWARE,924
489772,702211,489772-WRENCH COMB 6MM,1.73,TOOLS/HARDWARE,924
489773,702212,489773-WRENCH COMB 7MM,1.83,TOOLS/HARDWARE,924
489774,702213,489774-WRENCH COMB 8MM,1.91,TOOLS/HARDWARE,924
489775,702214,489775-WRENCH COMB 9MM,1.95,TOOLS/HARDWARE,924
489776,702215,489776-WRENCH COMB 10MM,2.04,TOOLS/HARDWARE,924
489777,702216,489777-WRENCH COMB 11MM,2.14,TOOLS/HARDWARE,924
489778,702217,489778-WRENCH COMB 12MM,2.28,TOOLS/HARDWARE,924
489779,702218,489779-WRENCH COMB 13MM,2.41,TOOLS/HARDWARE,924
489780,702219,489780-WRENCH COMB 14MM,2.63,TOOLS/HARDWARE,924
489785,16-299,489785-PUNCH CHISEL SET 12PC STANLEY,24.7,TOOLS/HARDWARE,924
489791,S012220,489791-BINS STORAGE 8PC C/W RAIL,11.35,TOOLS/HARDWARE,924
489792,S012225,489792-BINS STORAGE 4PC C/W RAIL,11.54,TOOLS/HARDWARE,924
489798,55-115,"489798-PRY BAR NAIL 12"" OFFSET STANLY",14.78,TOOLS/HARDWARE,924
489814,80020,489814-BLADE MEAT SAW,16.52,OUTDOOR LIVING,920
489819,T004849DSP,"489819-ORGANIZER 15""X12X23/8"" 24 COMP",13.63,TOOLS/HARDWARE,924
489830,P011502,"489830-PRY BAR 12"" NAIL PULLER",7.07,TOOLS/HARDWARE,924
489831,P011504,"489831-PRY BAR SCRAPER 12""",5.55,TOOLS/HARDWARE,924
489855,028001L,"489855-TOOL BOX 28"" FAT-MAX STANLEY",52.71,TOOLS/HARDWARE,924
489858,T004842DSP,"489858-TOOL BOX 19""PLASTIC TACTIX",18.64,TOOLS/HARDWARE,924
489873,024013S,"489873-TOOL BOX 24"" C/WORGANIZER STAN",20.49,TOOLS/HARDWARE,924
489874,STST41001,"489874-TRAY TOOL 19"" STANLEY",7.34,TOOLS/HARDWARE,924
489876,T004856DSP,489876-ORGANIZER 4PC TACTIX,16.71,TOOLS/HARDWARE,924
489877,DWST24070,"489877-BOX HEAVY DUTY 24"" DEWALT",41.48,TOOLS/HARDWARE,924
489880,42722,489880-HOOK N LOOP 5' 8 HOLES (4)G60,2.87,PAINT / SUNDRIES,930
489881,51021,"489881-REPLACEMENT PAD 8HOL 5""VELCRO",5.25,PAINT / SUNDRIES,930
489882,51014,"489882-REPLACEMENT PAD 5HOL 5""VELCRO",4.3,PAINT / SUNDRIES,930
489883,57542,489883-HOOK N LOOP DRILL PAD,10.08,PAINT / SUNDRIES,930
